QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L15_N5000_x100
Angle method : pq
x points     : 100
N_SHOTS      : 5000
Fix 1 retries: 3
Fix 2 NaN    : enabled
Fix 3 timeout: enabled (30s wait on network error)

x[00] = -3.1416  job_id = f39f0eaf-f5ed-4993-b22c-9634ea1ef7ff
x[01] = -3.0781  job_id = 60643cdf-e4a2-4e3c-a6a5-d002382fbc73
x[02] = -3.0147  job_id = 62a2d481-778e-456f-b454-47fb1e002524
x[03] = -2.9512  job_id = cc05cbe4-813e-4a74-b2b7-58d971f576ac
x[04] = -2.8877  job_id = 60c6def3-9340-4114-8584-68e67a23e379
x[05] = -2.8243  job_id = 29aa9451-40b8-494a-8e38-178e352a6261
x[06] = -2.7608  job_id = 188787f3-9b89-4250-99f7-23b632cdfda0
x[07] = -2.6973  job_id = cae8947a-a896-4564-9b8b-6038e4d76f65
x[08] = -2.6339  job_id = dbd9813b-4005-45a9-b1b0-212865931879
x[09] = -2.5704  job_id = 0ddb1722-39a3-4853-bab8-55d4582c679e
x[10] = -2.5069  job_id = 87bacb8a-bc61-4f68-b7a2-4716bd793b09
x[11] = -2.4435  job_id = 4cc9c136-c4a7-4bd1-8609-b44db3c6c103
x[12] = -2.3800  job_id = b014ea89-736e-44f3-9583-24e261ec3c4c
x[13] = -2.3165  job_id = ef507121-ee36-43ca-bf51-a5d990cb5ea2
x[14] = -2.2531  job_id = 864d2df2-b782-4800-b86b-26d9893af1f3
x[15] = -2.1896  job_id = eab4c416-1e0f-447d-8cc3-898ece062bf9
x[16] = -2.1261  job_id = 744087b3-407a-4e19-b6bb-fbd5c1cf20a3
x[17] = -2.0627  job_id = 761a1c05-d214-4e06-9f04-fa6481ad4a50
x[18] = -1.9992  job_id = 7b8e9766-3da6-4d5e-bccc-9f70b9f5e771
x[19] = -1.9357  job_id = 870a67f0-8d36-4da0-bd85-ad7d61c055f7
x[20] = -1.8723  job_id = f68fc6a8-27a2-4cf9-8264-8f2c778e2b86
x[21] = -1.8088  job_id = d5bd7b6f-195c-4fdb-b7e7-64baf9d6b4a8
x[22] = -1.7453  job_id = df8ab7cd-c16a-46a1-815d-31cbd15a865a
x[23] = -1.6819  job_id = f208fc6f-76a7-42ab-9ab4-4250907404f4
x[24] = -1.6184  job_id = 0201f6be-5869-485c-9b45-818969a7ede2
x[25] = -1.5549  job_id = 2d035872-9c8c-4cf4-b0e9-6fe750110a06
x[26] = -1.4915  job_id = 9b95fee0-467a-41d1-a1b8-d551615c9bc9
x[27] = -1.4280  job_id = e2993689-288a-4a3a-8912-ef78421f659e
x[28] = -1.3645  job_id = 8400caa6-58b6-488a-92d7-0ca584cdcbd9
x[29] = -1.3011  job_id = 6f79c017-c832-49e4-a9ab-fe50e8a2335a
x[30] = -1.2376  job_id = 1ca5b003-e08a-4aac-8ddd-8394a7348677
x[31] = -1.1741  job_id = 873b78ee-5487-4cf6-9301-415143df43b7
x[32] = -1.1107  job_id = 12ee5df7-aa86-4a97-a3ec-ce6f22eaf13a
x[33] = -1.0472  job_id = 3938f7fa-94d0-4b4a-ac26-d3749a0192b1
x[34] = -0.9837  job_id = ad827c6b-021e-4e49-bc8e-39e0d2c2b669
x[35] = -0.9203  job_id = e8507d5f-9f12-443c-86a3-0fb941cc2e69
x[36] = -0.8568  job_id = 5b70c43c-1903-4043-8f4c-f3e02939b88f
x[37] = -0.7933  job_id = b66722ce-031a-4ffe-8adf-8e78a11908e1
x[38] = -0.7299  job_id = 51eab7ca-ab0e-42df-926c-de71ea8ce7ff
x[39] = -0.6664  job_id = 36591444-44b5-4984-8794-e783c8c78b03
x[40] = -0.6029  job_id = cdb9b6f1-ae3d-44b4-81a1-14d7b46afc20
x[41] = -0.5395  job_id = b442b4a0-343f-4b7a-8933-343832d008b0
